"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"40",2005-04-01 19:45:00,2005-04-01,70.23,29.75,13.518,13.518,13.518,12.438,11.761,11.445,142.344,TRUE
"41",2005-04-03 14:00:00,2005-04-03,3.06,3.5,3.312,3.312,3.312,2.614,1.469,0.326,0.852,TRUE
"42",2005-04-05 19:45:00,2005-04-05,0.47,5.75,0.23,0.187,0.187,0.171,0.164,0.038,0.006,TRUE
"43",2005-04-08 03:30:00,2005-04-08,1.03,2,6.345,3.706,2.826,1.685,0.878,0.054,0.092,TRUE
"44",2005-04-11 02:00:00,2005-04-11,0.04,0.75,0.26,0.14,0.1,0.06,0.04,0.002,0,FALSE
"45",2005-04-19 15:30:00,2005-04-19,0.09,1,0.496,0.376,0.336,0.175,0.094,0.006,0.001,FALSE
"46",2005-04-20 23:00:00,2005-04-20,0.93,1.5,2.323,1.684,1.471,1.377,0.926,0.081,0.112,FALSE
"47",2005-04-21 11:15:00,2005-04-21,0.38,2.75,0.661,0.458,0.391,0.331,0.273,0.03,0.01,FALSE
"48",2005-04-22 05:30:00,2005-04-22,2.86,4.5,2.419,2.419,2.419,2.289,1.978,0.3,0.686,TRUE
"49",2005-04-22 20:45:00,2005-04-22,7.79,8,13.551,7.113,7.113,5.889,4.43,0.895,5.271,TRUE
"50",2005-04-23 16:15:00,2005-04-23,24.53,10.5,45.714,45.714,45.714,38.866,23.307,6.248,242.844,TRUE
"51",2005-04-24 11:30:00,2005-04-24,0.8,5.75,0.409,0.409,0.409,0.3,0.232,0.067,0.02,TRUE
"52",2005-04-24 23:15:00,2005-04-24,0.79,12.25,0.64,0.64,0.64,0.424,0.331,0.066,0.028,TRUE
"53",2005-04-25 21:15:00,2005-04-25,0.58,4,0.244,0.196,0.196,0.178,0.178,0.048,0.008,FALSE
"54",2005-04-26 20:30:00,2005-04-26,2.81,4.75,3.739,3.739,3.739,2.31,1.307,0.301,0.695,TRUE
"55",2005-04-28 14:30:00,2005-04-28,0.04,3,0.244,0.124,0.084,0.044,0.024,0.002,0,FALSE
"56",2005-04-29 03:30:00,2005-04-29,0.12,4.25,0.166,0.142,0.142,0.101,0.066,0.009,0.001,FALSE
"57",2005-04-30 00:15:00,2005-04-30,23.45,30,4.572,4.572,4.572,3.579,2.631,2.653,9.494,TRUE
"58",2005-05-02 01:45:00,2005-05-02,0.04,0.5,0.28,0.16,0.12,0.08,0.04,0.002,0,FALSE
"59",2005-05-02 12:00:00,2005-05-02,2.39,5.5,3.24,3.24,3.24,2.964,1.707,0.264,0.783,FALSE
"60",2005-05-03 20:30:00,2005-05-03,0.87,9.25,0.253,0.253,0.253,0.218,0.178,0.071,0.016,FALSE
"61",2005-05-04 21:15:00,2005-05-04,0.05,2.75,0.182,0.122,0.102,0.053,0.029,0.003,0,FALSE
"62",2005-05-05 21:45:00,2005-05-05,0.07,1.75,0.16,0.1,0.096,0.088,0.049,0.005,0,FALSE
"63",2005-05-10 00:00:00,2005-05-10,0.21,4.5,0.16,0.1,0.098,0.098,0.091,0.017,0.002,FALSE
"64",2005-05-10 21:30:00,2005-05-10,0.04,0.5,0.19,0.13,0.11,0.085,0.04,0.003,0,FALSE
"65",2005-05-11 14:30:00,2005-05-11,0.04,0.25,0.313,0.213,0.18,0.08,0.04,0.002,0,FALSE
"66",2005-05-11 21:00:00,2005-05-11,0.38,9.5,0.404,0.404,0.404,0.224,0.208,0.031,0.007,FALSE
"67",2005-05-14 19:45:00,2005-05-14,2.71,4.25,4.711,4.711,4.711,4.125,2.456,0.329,1.355,FALSE
"68",2005-05-16 00:30:00,2005-05-16,1.45,1.25,3.777,3.626,3.575,1.978,1.371,0.165,0.327,FALSE
"69",2005-05-18 23:00:00,2005-05-18,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"70",2005-05-19 21:00:00,2005-05-19,28.16,17.5,6.708,6.708,6.708,6.329,5.251,3.568,22.581,TRUE
"71",2005-05-21 17:30:00,2005-05-21,0.06,0.5,0.353,0.233,0.193,0.127,0.06,0.004,0,FALSE
