"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"37",2005-04-01 19:45:00,2005-04-01,57.07,29,16.178,16.178,16.178,14.343,12.031,9.134,131.014,TRUE
"38",2005-04-03 14:45:00,2005-04-03,1.15,3.25,1.128,1.128,1.128,1.028,0.833,0.104,0.107,TRUE
"39",2005-04-05 19:30:00,2005-04-05,1.1,6.75,0.307,0.307,0.307,0.303,0.293,0.093,0.028,TRUE
"40",2005-04-06 21:30:00,2005-04-06,0.21,3.25,0.16,0.16,0.16,0.107,0.08,0.017,0.002,TRUE
"41",2005-04-09 22:00:00,2005-04-09,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"42",2005-04-10 05:30:00,2005-04-10,0.15,0.75,1.38,0.72,0.5,0.27,0.15,0.003,0.001,FALSE
"43",2005-04-11 01:00:00,2005-04-11,0.21,3,0.17,0.12,0.12,0.113,0.095,0.017,0.002,FALSE
"44",2005-04-11 23:00:00,2005-04-11,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"45",2005-04-19 16:45:00,2005-04-19,0.15,0.25,1.633,0.853,0.593,0.3,0.15,0.002,0,FALSE
"46",2005-04-20 01:45:00,2005-04-20,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"47",2005-04-20 23:15:00,2005-04-20,0.28,1,0.793,0.623,0.566,0.343,0.283,0.022,0.008,FALSE
"48",2005-04-21 09:00:00,2005-04-21,1.13,5.5,0.765,0.638,0.638,0.618,0.538,0.098,0.06,FALSE
"49",2005-04-21 22:45:00,2005-04-21,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"50",2005-04-22 05:00:00,2005-04-22,1.28,4.5,1.381,1.381,1.381,1.25,1.062,0.122,0.153,FALSE
"51",2005-04-22 21:15:00,2005-04-22,1.93,7.25,1.162,1.162,1.162,0.947,0.699,0.173,0.163,TRUE
"52",2005-04-23 16:00:00,2005-04-23,18.34,9.75,52.029,52.029,52.029,29.642,17.492,4.516,133.858,TRUE
"53",2005-04-24 11:30:00,2005-04-24,1.23,20.75,2.739,1.54,1.14,0.654,0.409,0.087,0.057,FALSE
"54",2005-04-25 20:30:00,2005-04-25,1.2,6.25,0.3,0.26,0.26,0.253,0.233,0.1,0.025,FALSE
"55",2005-04-26 20:15:00,2005-04-26,1.35,4.75,1.352,1.352,1.352,1.297,0.761,0.123,0.16,FALSE
"56",2005-04-28 14:30:00,2005-04-28,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"57",2005-04-29 02:30:00,2005-04-29,0.12,5.25,0.187,0.187,0.187,0.128,0.088,0.009,0.001,FALSE
"58",2005-04-30 00:00:00,2005-04-30,29.41,30.25,7.251,7.251,7.251,6.059,4.776,3.492,21.159,TRUE
"59",2005-05-02 00:15:00,2005-05-02,0.26,2.5,0.18,0.18,0.18,0.17,0.157,0.021,0.004,FALSE
"60",2005-05-02 14:00:00,2005-05-02,1.26,2.75,2.527,2.527,2.527,1.707,0.973,0.129,0.22,FALSE
"61",2005-05-03 16:30:00,2005-05-03,1.54,13,0.393,0.393,0.393,0.35,0.292,0.129,0.045,FALSE
"62",2005-05-04 20:45:00,2005-05-04,0.41,3.25,0.413,0.38,0.38,0.363,0.293,0.033,0.012,FALSE
"63",2005-05-05 21:00:00,2005-05-05,0.15,2.5,0.2,0.14,0.133,0.113,0.102,0.012,0.001,FALSE
"64",2005-05-09 20:15:00,2005-05-09,1.53,8.25,0.42,0.42,0.42,0.417,0.39,0.129,0.054,FALSE
"65",2005-05-10 20:30:00,2005-05-10,0.29,3.75,0.413,0.233,0.22,0.207,0.16,0.021,0.004,FALSE
"66",2005-05-11 20:15:00,2005-05-11,0.06,0.75,0.2,0.14,0.12,0.087,0.06,0.004,0,FALSE
"67",2005-05-12 06:00:00,2005-05-12,0.04,4.5,0.242,0.122,0.082,0.042,0.022,0.002,0,FALSE
"68",2005-05-14 05:45:00,2005-05-14,0.07,0.25,0.486,0.325,0.271,0.14,0.07,0.003,0,FALSE
"69",2005-05-14 19:15:00,2005-05-14,6.19,7,8.268,8.268,8.268,8.099,5.332,0.969,7.847,TRUE
"70",2005-05-15 23:00:00,2005-05-15,2.38,2.25,4.832,4.832,4.832,3.347,1.882,0.292,0.978,FALSE
"71",2005-05-18 20:30:00,2005-05-18,0.5,3.75,0.226,0.213,0.213,0.203,0.192,0.041,0.008,FALSE
"72",2005-05-19 21:00:00,2005-05-19,34.48,17.5,9.869,9.869,9.869,9.72,8.436,4.73,45.979,TRUE
"73",2005-05-22 22:45:00,2005-05-22,0.6,0.75,1.432,1.043,0.913,0.896,0.6,0.05,0.045,FALSE
"74",2005-05-24 13:45:00,2005-05-24,14.31,5,18.031,18.031,18.031,13.446,8.028,2.462,33.109,TRUE
"75",2005-05-25 07:15:00,2005-05-25,3,2,3.208,3.208,3.208,2.833,1.94,0.331,0.938,TRUE
"76",2005-05-25 20:45:00,2005-05-25,0.1,0.25,0.702,0.468,0.39,0.2,0.1,0.005,0.001,FALSE
"77",2005-06-02 23:15:00,2005-06-02,18.36,12.5,15.173,15.173,15.173,13.68,10.307,2.976,40.717,TRUE
"78",2005-06-04 11:15:00,2005-06-04,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"79",2005-06-06 05:30:00,2005-06-06,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"80",2005-06-06 18:00:00,2005-06-06,25.3,4,51.36,51.36,51.36,38.8,20.31,6.162,239.102,TRUE
"81",2005-06-09 19:30:00,2005-06-09,6.25,1.5,15.347,10.924,9.45,7.795,5.951,0.845,6.59,TRUE
"82",2005-06-13 18:15:00,2005-06-13,0.06,0.25,0.513,0.296,0.223,0.12,0.06,0.002,0,FALSE
"83",2005-06-19 15:45:00,2005-06-19,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"84",2005-06-22 06:30:00,2005-06-22,0.44,3.5,0.522,0.484,0.471,0.379,0.287,0.038,0.014,FALSE
"85",2005-06-22 16:30:00,2005-06-22,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"86",2005-06-27 10:30:00,2005-06-27,0.79,8.25,0.739,0.739,0.739,0.403,0.229,0.066,0.027,FALSE
"87",2005-06-28 13:45:00,2005-06-28,35.18,5.25,43.277,43.277,43.277,36.871,30.724,8.887,327.68,TRUE
"88",2005-06-29 04:15:00,2005-06-29,0.04,0.25,0.387,0.217,0.16,0.08,0.04,0.001,0,TRUE
"89",2005-07-01 22:15:00,2005-07-01,8.6,0.5,25.119,24.979,24.933,17.203,8.6,2.078,35.752,FALSE
"90",2005-07-05 12:15:00,2005-07-05,0.12,0.25,0.777,0.561,0.489,0.24,0.12,0.008,0.002,FALSE
"91",2005-07-05 20:15:00,2005-07-05,14.87,3.25,32.771,32.771,32.771,21.436,12.322,3.306,70.867,TRUE
"92",2005-07-07 16:15:00,2005-07-07,56.2,17.5,17.617,17.617,17.617,17.302,15.46,10.319,178.541,TRUE
"93",2005-07-13 19:15:00,2005-07-13,15.54,0.75,57.429,49.475,46.824,30.738,15.54,3.773,115.968,TRUE
"94",2005-07-14 12:30:00,2005-07-14,4.8,7.25,5.359,5.359,5.359,3.357,2.589,0.576,1.935,TRUE
"95",2005-07-15 02:00:00,2005-07-15,8.41,3,10.054,9.19,8.902,7.658,4.419,1.169,8.951,TRUE
"96",2005-07-15 15:45:00,2005-07-15,0.64,8,0.792,0.792,0.792,0.413,0.223,0.053,0.022,TRUE
"97",2005-07-16 08:45:00,2005-07-16,28.26,15.75,19.345,19.345,19.345,14.212,9.682,5.308,75.432,TRUE
"98",2005-07-19 17:00:00,2005-07-19,0.1,0.25,1.087,0.587,0.42,0.2,0.1,0.002,0,FALSE
"99",2005-07-21 15:15:00,2005-07-21,0.22,2.5,0.94,0.49,0.34,0.19,0.115,0.012,0.002,FALSE
"100",2005-07-22 23:45:00,2005-07-22,0.3,0.5,1.085,0.966,0.926,0.606,0.3,0.026,0.016,FALSE
"101",2005-07-24 23:15:00,2005-07-24,14.31,6.5,38.844,38.844,38.844,21.837,11.327,3.212,70.148,TRUE
"102",2005-07-27 17:15:00,2005-07-27,5.18,2,9.831,9.803,9.794,7.225,4.635,0.833,6.016,TRUE
"103",2005-07-29 12:30:00,2005-07-29,1.11,2,2.32,2.32,2.32,1.3,0.778,0.114,0.148,FALSE
"104",2005-08-03 14:15:00,2005-08-03,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"105",2005-08-05 18:00:00,2005-08-05,15.41,10,27.491,27.491,27.491,22.157,14.228,3.506,77.691,TRUE
"106",2005-08-06 19:00:00,2005-08-06,0.3,10.5,0.36,0.36,0.36,0.32,0.227,0.024,0.008,FALSE
"107",2005-08-07 11:30:00,2005-08-07,0.08,0.75,0.7,0.37,0.26,0.15,0.08,0.002,0,FALSE
"108",2005-08-08 14:00:00,2005-08-08,6.73,24.25,2.72,2.72,2.72,2.41,1.482,0.66,1.59,TRUE
"109",2005-08-10 22:30:00,2005-08-10,0.04,5.25,0.244,0.124,0.084,0.044,0.024,0.002,0,FALSE
"110",2005-08-11 13:00:00,2005-08-11,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"111",2005-08-12 01:30:00,2005-08-12,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"112",2005-08-14 22:30:00,2005-08-14,0.07,1.5,0.19,0.14,0.14,0.09,0.05,0.005,0,FALSE
"113",2005-08-15 14:15:00,2005-08-15,7.39,23,9.237,9.237,9.237,8.867,5.511,1.129,10.012,TRUE
"114",2005-08-16 22:15:00,2005-08-16,0.18,4.25,0.32,0.2,0.16,0.12,0.07,0.013,0.002,TRUE
"115",2005-08-17 20:00:00,2005-08-17,3.43,9,3.9,3.9,3.9,3.325,2.413,0.392,1.304,FALSE
"116",2005-08-18 20:30:00,2005-08-18,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"117",2005-08-19 03:15:00,2005-08-19,4.81,9,5.359,5.359,5.359,4.097,2.715,0.56,2.296,TRUE
"118",2005-08-20 20:45:00,2005-08-20,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0,FALSE
"119",2005-08-21 05:30:00,2005-08-21,0.25,0.75,0.88,0.46,0.34,0.34,0.25,0.016,0.005,FALSE
"120",2005-08-21 19:45:00,2005-08-21,2.3,6.75,2.367,2.367,2.367,1.81,1.515,0.227,0.411,FALSE
"121",2005-08-22 19:45:00,2005-08-22,0.49,11.5,0.24,0.18,0.16,0.1,0.082,0.04,0.004,FALSE
"122",2005-08-23 20:00:00,2005-08-23,0.55,4.25,0.226,0.2,0.2,0.197,0.177,0.045,0.009,FALSE
"123",2005-08-24 10:30:00,2005-08-24,1.66,38.5,1.447,1.447,1.447,0.763,0.433,0.145,0.11,FALSE
"124",2005-08-26 23:00:00,2005-08-26,2.85,12.75,2.778,2.778,2.778,2.315,1.932,0.299,0.692,TRUE
"125",2005-08-27 17:45:00,2005-08-27,16.21,13.5,17.3,17.3,17.3,11.308,9.625,2.873,32.488,TRUE
"126",2005-08-28 19:45:00,2005-08-28,1.59,9.75,0.649,0.533,0.533,0.467,0.381,0.134,0.063,FALSE
"127",2005-08-29 20:15:00,2005-08-29,0.13,3.25,0.24,0.18,0.16,0.12,0.082,0.01,0.001,FALSE
"128",2005-08-30 20:15:00,2005-08-30,0.16,0.5,0.739,0.57,0.513,0.317,0.16,0.011,0.004,FALSE
"129",2005-08-31 19:45:00,2005-08-31,0.77,7.5,0.286,0.207,0.18,0.14,0.127,0.063,0.009,FALSE
"130",2005-09-01 19:15:00,2005-09-01,2.09,11.5,0.36,0.36,0.36,0.35,0.333,0.177,0.062,FALSE
"131",2005-09-02 19:15:00,2005-09-02,0.58,11,0.18,0.16,0.16,0.157,0.148,0.047,0.007,FALSE
"132",2005-09-03 15:45:00,2005-09-03,3.44,34,0.353,0.353,0.353,0.35,0.337,0.293,0.102,FALSE
"133",2005-09-05 11:45:00,2005-09-05,0.62,12.5,0.36,0.2,0.193,0.187,0.16,0.05,0.009,FALSE
"134",2005-09-06 11:45:00,2005-09-06,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"135",2005-09-06 19:30:00,2005-09-06,0.37,6,0.303,0.195,0.159,0.146,0.12,0.029,0.004,FALSE
"136",2005-09-07 19:30:00,2005-09-07,0.29,5.25,0.306,0.217,0.187,0.153,0.118,0.023,0.003,FALSE
"137",2005-09-08 19:30:00,2005-09-08,1.38,6.5,1.787,1.787,1.787,1.193,0.675,0.129,0.153,FALSE
"138",2005-09-09 19:30:00,2005-09-09,1.54,9.25,0.573,0.383,0.347,0.33,0.295,0.128,0.042,FALSE
"139",2005-09-10 19:00:00,2005-09-10,1.56,8,0.43,0.43,0.43,0.43,0.43,0.132,0.057,FALSE
"140",2005-09-11 19:30:00,2005-09-11,0.38,3.5,0.413,0.293,0.253,0.207,0.178,0.03,0.006,FALSE
"141",2005-09-12 20:00:00,2005-09-12,0.24,7,0.14,0.127,0.127,0.1,0.08,0.019,0.002,FALSE
"142",2005-09-13 13:30:00,2005-09-13,0.35,10.25,0.16,0.127,0.127,0.107,0.091,0.028,0.003,FALSE
"143",2005-09-14 09:15:00,2005-09-14,0.63,0.5,4.221,2.87,2.42,1.268,0.63,0.042,0.054,FALSE
"144",2005-09-14 20:00:00,2005-09-14,0.45,5,0.464,0.29,0.232,0.174,0.158,0.035,0.006,FALSE
"145",2005-09-15 19:30:00,2005-09-15,2.19,10.75,0.776,0.506,0.416,0.381,0.364,0.184,0.07,FALSE
"146",2005-09-21 14:30:00,2005-09-21,2.57,13.5,0.48,0.48,0.48,0.46,0.447,0.221,0.102,FALSE
"147",2005-09-23 19:15:00,2005-09-23,3.68,28.5,0.713,0.713,0.713,0.683,0.62,0.323,0.221,FALSE
"148",2005-09-26 14:00:00,2005-09-26,2.74,12.5,1.824,1.824,1.824,1.414,1.231,0.263,0.372,TRUE
"149",2005-09-27 18:45:00,2005-09-27,3.08,13.5,0.527,0.527,0.527,0.483,0.462,0.267,0.129,FALSE
"150",2005-09-30 19:30:00,2005-09-30,0.4,7,0.25,0.16,0.133,0.12,0.098,0.032,0.004,FALSE
"151",2005-10-01 20:45:00,2005-10-01,0.23,6.75,0.26,0.14,0.1,0.07,0.065,0.017,0.001,FALSE
"152",2005-10-02 13:00:00,2005-10-02,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"153",2005-10-02 19:15:00,2005-10-02,1.5,11.5,0.28,0.253,0.253,0.23,0.203,0.124,0.028,FALSE
"154",2005-10-03 13:00:00,2005-10-03,1.26,13.25,0.26,0.26,0.26,0.257,0.232,0.105,0.027,FALSE
"155",2005-10-04 21:15:00,2005-10-04,0.11,1.75,0.173,0.113,0.093,0.09,0.077,0.008,0.001,FALSE
"156",2005-10-05 19:15:00,2005-10-05,1.1,13.5,0.352,0.352,0.352,0.211,0.17,0.091,0.019,FALSE
"157",2005-10-07 03:00:00,2005-10-07,228.5,39.25,31.533,31.533,31.533,23.833,19.727,47.829,1139.924,TRUE
"158",2005-10-09 18:45:00,2005-10-09,0.94,8,0.54,0.39,0.34,0.3,0.262,0.076,0.023,TRUE
"159",2005-10-10 20:00:00,2005-10-10,1.46,12,1.241,1.241,1.241,1.206,0.858,0.133,0.16,FALSE
"160",2005-10-11 14:30:00,2005-10-11,0.27,9.75,0.165,0.156,0.156,0.14,0.126,0.022,0.003,FALSE
"161",2005-10-12 07:45:00,2005-10-12,0.08,0.25,0.64,0.4,0.32,0.16,0.08,0.003,0.001,FALSE
"162",2005-10-12 18:45:00,2005-10-12,1.91,30.75,0.64,0.64,0.64,0.48,0.283,0.158,0.076,TRUE
"163",2005-10-14 19:00:00,2005-10-14,3.97,10.25,0.912,0.912,0.912,0.901,0.832,0.355,0.32,FALSE
"164",2005-10-15 18:30:00,2005-10-15,0.61,8.25,0.173,0.173,0.173,0.167,0.155,0.05,0.008,FALSE
"165",2005-10-16 23:45:00,2005-10-16,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"166",2005-10-17 18:30:00,2005-10-17,0.99,10.25,0.56,0.38,0.32,0.26,0.2,0.08,0.021,FALSE
"167",2005-10-18 22:15:00,2005-10-18,0.7,5,0.313,0.313,0.313,0.3,0.285,0.058,0.017,FALSE
"168",2005-10-19 23:45:00,2005-10-19,0.2,4.75,0.286,0.227,0.207,0.123,0.065,0.015,0.002,FALSE
"169",2005-10-20 13:30:00,2005-10-20,7,22,2.416,2.416,2.416,2.269,1.426,0.665,1.51,TRUE
"170",2005-10-21 20:45:00,2005-10-21,18.67,11,13.213,13.213,13.213,10.898,9.208,3.149,34.317,TRUE
"171",2005-10-22 16:45:00,2005-10-22,3.46,3,3.933,3.933,3.933,3.147,1.984,0.395,1.242,TRUE
"172",2005-10-23 18:15:00,2005-10-23,8.93,10.75,3.739,3.739,3.739,3.315,2.712,0.928,3.075,FALSE
"173",2005-10-24 17:15:00,2005-10-24,28.75,31,8.37,8.37,8.37,7.831,4.866,3.673,28.764,TRUE
"174",2005-10-26 18:30:00,2005-10-26,4.1,11.5,1.12,1.12,1.12,1.067,1.027,0.38,0.405,TRUE
"175",2005-10-27 18:45:00,2005-10-27,0.72,10,0.213,0.2,0.2,0.163,0.152,0.059,0.01,FALSE
"176",2005-10-28 18:15:00,2005-10-28,3.22,10,0.513,0.513,0.513,0.497,0.482,0.279,0.138,FALSE
"177",2005-10-29 18:15:00,2005-10-29,0.52,6.5,0.161,0.14,0.14,0.12,0.115,0.042,0.005,FALSE
"178",2005-10-30 18:30:00,2005-10-30,0.51,5.75,0.16,0.127,0.127,0.12,0.12,0.042,0.005,FALSE
"246",2006-04-01 00:15:00,2006-04-01,2.79,12.5,3.663,3.663,3.663,2.961,1.678,0.287,0.85,FALSE
"247",2006-04-02 20:00:00,2006-04-02,0.95,16.5,0.253,0.253,0.253,0.227,0.212,0.078,0.018,FALSE
"248",2006-04-03 18:30:00,2006-04-03,21.53,3,42.438,41.421,41.082,28.953,17.295,4.838,140.091,TRUE
"249",2006-04-07 20:45:00,2006-04-07,20.05,17.75,3.527,3.527,3.527,3.334,2.654,2.234,7.448,TRUE
"250",2006-04-10 19:45:00,2006-04-10,1.28,6.75,0.307,0.307,0.307,0.307,0.293,0.108,0.033,FALSE
"251",2006-04-11 20:45:00,2006-04-11,0.45,5,0.167,0.133,0.133,0.127,0.117,0.036,0.005,FALSE
"252",2006-04-13 04:30:00,2006-04-13,0.25,1,1.331,0.855,0.696,0.387,0.247,0.014,0.006,FALSE
