,Date,PRECIP,DURATION,MAX_5,MAX_10,MAX_15,MAX_30,MAX_60,ENERGY,EI30
,MO/DA/YR,mm,hrs,mm/hr,mm/hr,mm/hr,mm/hr,mm/hr,MJ/ha,MJ*mm/ha*hr
,----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
1/3/2005 0:15,1/3/2005,0.12,0.25,0.96,0.6,0.48,0.24,0.12,0.005,0.001
1/3/2005 16:00,1/3/2005,0.08,0,0.96,0.48,0.32,0.16,0.08,0,0
1/4/2005 4:30,1/4/2005,0.08,0,0.96,0.48,0.32,0.16,0.08,0,0
1/5/2005 3:15,1/5/2005,9.08,7.5,9.68,8.747,8.747,6.773,4.927,1.126,7.63
1/7/2005 17:00,1/7/2005,0.54,2.25,1.033,0.713,0.62,0.493,0.279,0.043,0.021
1/8/2005 1:30,1/8/2005,6.15,9.5,3.105,3.105,3.105,2.671,1.991,0.637,1.701
1/13/2005 21:15,1/13/2005,8.43,5.5,5.094,5.094,5.094,4.293,3.47,1.085,4.659
1/16/2005 19:30,1/16/2005,0.76,4.25,0.913,0.913,0.913,0.79,0.567,0.066,0.052
1/19/2005 11:30,1/19/2005,1.46,6.5,3.302,2.18,1.806,1.292,0.905,0.117,0.151
1/20/2005 1:15,1/20/2005,0.79,1,1.839,1.319,1.146,1.053,0.793,0.067,0.071
1/22/2005 6:30,1/22/2005,15.57,9,7.176,7.176,7.176,7.02,5.898,2.008,14.096
1/24/2005 14:15,1/24/2005,1.25,4.5,1.133,1.133,1.133,0.893,0.875,0.114,0.102
1/30/2005 3:15,1/30/2005,4.24,10.5,2.21,1.663,1.663,1.478,1.228,0.384,0.568
2/3/2005 11:30,2/3/2005,2.24,20.75,1.601,1.601,1.601,1.142,0.768,0.202,0.231
2/8/2005 3:45,2/8/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
2/9/2005 19:30,2/9/2005,3.89,7.75,3.727,3.727,3.727,3.717,2.502,0.456,1.694
2/12/2005 11:00,2/12/2005,0.05,0.5,0.226,0.167,0.147,0.105,0.05,0.004,0
2/14/2005 0:45,2/14/2005,15.17,20,5.207,5.207,5.207,4.314,3.873,1.669,7.199
2/15/2005 10:00,2/15/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
2/16/2005 12:30,2/16/2005,2.06,2.75,3.743,3.743,3.743,2.831,1.66,0.237,0.67
2/17/2005 13:00,2/17/2005,0.13,4,0.208,0.148,0.128,0.071,0.043,0.01,0.001
